dateRep,day,month,year,cases,deaths,continent,id
27/05/2020,27,5,2020,658,1,AS,004
26/05/2020,26,5,2020,591,1,AS,004
25/05/2020,25,5,2020,584,2,AS,004
24/05/2020,24,5,2020,782,11,AS,004
23/05/2020,23,5,2020,540,12,AS,004
22/05/2020,22,5,2020,531,6,AS,004
21/05/2020,21,5,2020,492,9,AS,004
20/05/2020,20,5,2020,581,5,AS,004
19/05/2020,19,5,2020,408,4,AS,004
18/05/2020,18,5,2020,262,1,AS,004
17/05/2020,17,5,2020,0,0,AS,004
16/05/2020,16,5,2020,1063,32,AS,004
15/05/2020,15,5,2020,113,6,AS,004
14/05/2020,14,5,2020,259,3,AS,004
13/05/2020,13,5,2020,280,5,AS,004
12/05/2020,12,5,2020,285,2,AS,004
11/05/2020,11,5,2020,369,5,AS,004
10/05/2020,10,5,2020,255,6,AS,004
09/05/2020,9,5,2020,215,3,AS,004
08/05/2020,8,5,2020,171,2,AS,004
07/05/2020,7,5,2020,168,9,AS,004
06/05/2020,6,5,2020,330,5,AS,004
05/05/2020,5,5,2020,190,5,AS,004
04/05/2020,4,5,2020,235,13,AS,004
03/05/2020,3,5,2020,134,4,AS,004
02/05/2020,2,5,2020,164,4,AS,004
01/05/2020,1,5,2020,222,4,AS,004
30/04/2020,30,4,2020,122,0,AS,004
29/04/2020,29,4,2020,124,3,AS,004
28/04/2020,28,4,2020,172,0,AS,004
27/04/2020,27,4,2020,68,10,AS,004
26/04/2020,26,4,2020,112,4,AS,004
25/04/2020,25,4,2020,70,1,AS,004
24/04/2020,24,4,2020,105,2,AS,004
23/04/2020,23,4,2020,84,4,AS,004
22/04/2020,22,4,2020,61,1,AS,004
21/04/2020,21,4,2020,35,2,AS,004
20/04/2020,20,4,2020,88,3,AS,004
19/04/2020,19,4,2020,63,0,AS,004
18/04/2020,18,4,2020,51,1,AS,004
17/04/2020,17,4,2020,10,4,AS,004
16/04/2020,16,4,2020,70,2,AS,004
15/04/2020,15,4,2020,49,2,AS,004
14/04/2020,14,4,2020,58,3,AS,004
13/04/2020,13,4,2020,52,0,AS,004
12/04/2020,12,4,2020,34,3,AS,004
11/04/2020,11,4,2020,37,0,AS,004
10/04/2020,10,4,2020,61,1,AS,004
09/04/2020,9,4,2020,56,3,AS,004
08/04/2020,8,4,2020,30,4,AS,004
07/04/2020,7,4,2020,38,0,AS,004
06/04/2020,6,4,2020,29,2,AS,004
05/04/2020,5,4,2020,35,1,AS,004
04/04/2020,4,4,2020,0,0,AS,004
03/04/2020,3,4,2020,43,0,AS,004
02/04/2020,2,4,2020,26,0,AS,004
01/04/2020,1,4,2020,25,0,AS,004
31/03/2020,31,3,2020,27,0,AS,004
30/03/2020,30,3,2020,8,1,AS,004
29/03/2020,29,3,2020,15,1,AS,004
28/03/2020,28,3,2020,16,1,AS,004
27/03/2020,27,3,2020,0,0,AS,004
26/03/2020,26,3,2020,33,0,AS,004
25/03/2020,25,3,2020,2,0,AS,004
24/03/2020,24,3,2020,6,1,AS,004
23/03/2020,23,3,2020,10,0,AS,004
22/03/2020,22,3,2020,0,0,AS,004
21/03/2020,21,3,2020,2,0,AS,004
20/03/2020,20,3,2020,0,0,AS,004
19/03/2020,19,3,2020,0,0,AS,004
18/03/2020,18,3,2020,1,0,AS,004
17/03/2020,17,3,2020,5,0,AS,004
16/03/2020,16,3,2020,6,0,AS,004
15/03/2020,15,3,2020,3,0,AS,004
11/03/2020,11,3,2020,3,0,AS,004
08/03/2020,8,3,2020,3,0,AS,004
02/03/2020,2,3,2020,0,0,AS,004
01/03/2020,1,3,2020,0,0,AS,004
29/02/2020,29,2,2020,0,0,AS,004
28/02/2020,28,2,2020,0,0,AS,004
27/02/2020,27,2,2020,0,0,AS,004
26/02/2020,26,2,2020,0,0,AS,004
25/02/2020,25,2,2020,1,0,AS,004
24/02/2020,24,2,2020,0,0,AS,004
23/02/2020,23,2,2020,0,0,AS,004
22/02/2020,22,2,2020,0,0,AS,004
21/02/2020,21,2,2020,0,0,AS,004
20/02/2020,20,2,2020,0,0,AS,004
19/02/2020,19,2,2020,0,0,AS,004
18/02/2020,18,2,2020,0,0,AS,004
17/02/2020,17,2,2020,0,0,AS,004
16/02/2020,16,2,2020,0,0,AS,004
15/02/2020,15,2,2020,0,0,AS,004
14/02/2020,14,2,2020,0,0,AS,004
13/02/2020,13,2,2020,0,0,AS,004
12/02/2020,12,2,2020,0,0,AS,004
11/02/2020,11,2,2020,0,0,AS,004
10/02/2020,10,2,2020,0,0,AS,004
09/02/2020,9,2,2020,0,0,AS,004
08/02/2020,8,2,2020,0,0,AS,004
07/02/2020,7,2,2020,0,0,AS,004
06/02/2020,6,2,2020,0,0,AS,004
05/02/2020,5,2,2020,0,0,AS,004
04/02/2020,4,2,2020,0,0,AS,004
03/02/2020,3,2,2020,0,0,AS,004
02/02/2020,2,2,2020,0,0,AS,004
01/02/2020,1,2,2020,0,0,AS,004
31/01/2020,31,1,2020,0,0,AS,004
30/01/2020,30,1,2020,0,0,AS,004
29/01/2020,29,1,2020,0,0,AS,004
28/01/2020,28,1,2020,0,0,AS,004
27/01/2020,27,1,2020,0,0,AS,004
26/01/2020,26,1,2020,0,0,AS,004
25/01/2020,25,1,2020,0,0,AS,004
24/01/2020,24,1,2020,0,0,AS,004
23/01/2020,23,1,2020,0,0,AS,004
22/01/2020,22,1,2020,0,0,AS,004
21/01/2020,21,1,2020,0,0,AS,004
20/01/2020,20,1,2020,0,0,AS,004
19/01/2020,19,1,2020,0,0,AS,004
18/01/2020,18,1,2020,0,0,AS,004
17/01/2020,17,1,2020,0,0,AS,004
16/01/2020,16,1,2020,0,0,AS,004
15/01/2020,15,1,2020,0,0,AS,004
14/01/2020,14,1,2020,0,0,AS,004
13/01/2020,13,1,2020,0,0,AS,004
12/01/2020,12,1,2020,0,0,AS,004
11/01/2020,11,1,2020,0,0,AS,004
10/01/2020,10,1,2020,0,0,AS,004
09/01/2020,9,1,2020,0,0,AS,004
08/01/2020,8,1,2020,0,0,AS,004
07/01/2020,7,1,2020,0,0,AS,004
06/01/2020,6,1,2020,0,0,AS,004
05/01/2020,5,1,2020,0,0,AS,004
04/01/2020,4,1,2020,0,0,AS,004
03/01/2020,3,1,2020,0,0,AS,004
02/01/2020,2,1,2020,0,0,AS,004
01/01/2020,1,1,2020,0,0,AS,004
31/12/2019,31,12,2019,0,0,AS,004
27/05/2020,27,5,2020,25,1,EU,008
26/05/2020,26,5,2020,6,0,EU,008
25/05/2020,25,5,2020,9,1,EU,008
24/05/2020,24,5,2020,8,0,EU,008
23/05/2020,23,5,2020,12,0,EU,008
22/05/2020,22,5,2020,5,0,EU,008
21/05/2020,21,5,2020,15,0,EU,008
20/05/2020,20,5,2020,1,0,EU,008
19/05/2020,19,5,2020,2,0,EU,008
18/05/2020,18,5,2020,13,0,EU,008
17/05/2020,17,5,2020,17,0,EU,008
16/05/2020,16,5,2020,18,0,EU,008
15/05/2020,15,5,2020,18,0,EU,008
14/05/2020,14,5,2020,4,0,EU,008
13/05/2020,13,5,2020,4,0,EU,008
12/05/2020,12,5,2020,4,0,EU,008
11/05/2020,11,5,2020,12,0,EU,008
10/05/2020,10,5,2020,6,0,EU,008
09/05/2020,9,5,2020,8,0,EU,008
08/05/2020,8,5,2020,10,0,EU,008
07/05/2020,7,5,2020,12,0,EU,008
06/05/2020,6,5,2020,17,0,EU,008
05/05/2020,5,5,2020,8,0,EU,008
04/05/2020,4,5,2020,6,0,EU,008
03/05/2020,3,5,2020,7,0,EU,008
02/05/2020,2,5,2020,9,0,EU,008
01/05/2020,1,5,2020,7,0,EU,008
30/04/2020,30,4,2020,16,1,EU,008
29/04/2020,29,4,2020,14,2,EU,008
28/04/2020,28,4,2020,10,0,EU,008
27/04/2020,27,4,2020,14,1,EU,008
26/04/2020,26,4,2020,34,0,EU,008
25/04/2020,25,4,2020,15,0,EU,008
24/04/2020,24,4,2020,29,0,EU,008
23/04/2020,23,4,2020,25,1,EU,008
22/04/2020,22,4,2020,25,0,EU,008
21/04/2020,21,4,2020,22,0,EU,008
20/04/2020,20,4,2020,14,0,EU,008
19/04/2020,19,4,2020,9,0,EU,008
18/04/2020,18,4,2020,21,0,EU,008
17/04/2020,17,4,2020,24,1,EU,008
16/04/2020,16,4,2020,19,1,EU,008
15/04/2020,15,4,2020,8,1,EU,008
14/04/2020,14,4,2020,21,0,EU,008
13/04/2020,13,4,2020,13,0,EU,008
12/04/2020,12,4,2020,17,0,EU,008
11/04/2020,11,4,2020,7,0,EU,008
10/04/2020,10,4,2020,9,1,EU,008
09/04/2020,9,4,2020,17,0,EU,008
08/04/2020,8,4,2020,6,0,EU,008
07/04/2020,7,4,2020,16,1,EU,008
06/04/2020,6,4,2020,28,2,EU,008
05/04/2020,5,4,2020,29,2,EU,008
04/04/2020,4,4,2020,27,1,EU,008
03/04/2020,3,4,2020,18,1,EU,008
02/04/2020,2,4,2020,16,0,EU,008
01/04/2020,1,4,2020,20,3,EU,008
31/03/2020,31,3,2020,11,2,EU,008
30/03/2020,30,3,2020,15,0,EU,008
29/03/2020,29,3,2020,11,1,EU,008
28/03/2020,28,3,2020,12,3,EU,008
27/03/2020,27,3,2020,28,1,EU,008
26/03/2020,26,3,2020,23,0,EU,008
25/03/2020,25,3,2020,23,1,EU,008
24/03/2020,24,3,2020,11,2,EU,008
23/03/2020,23,3,2020,13,0,EU,008
22/03/2020,22,3,2020,6,0,EU,008
21/03/2020,21,3,2020,0,0,EU,008
20/03/2020,20,3,2020,11,0,EU,008
19/03/2020,19,3,2020,4,1,EU,008
18/03/2020,18,3,2020,4,0,EU,008
17/03/2020,17,3,2020,9,0,EU,008
16/03/2020,16,3,2020,4,0,EU,008
15/03/2020,15,3,2020,5,0,EU,008
14/03/2020,14,3,2020,10,0,EU,008
13/03/2020,13,3,2020,12,0,EU,008
12/03/2020,12,3,2020,1,1,EU,008
11/03/2020,11,3,2020,4,0,EU,008
10/03/2020,10,3,2020,4,0,EU,008
09/03/2020,9,3,2020,2,0,EU,008
27/05/2020,27,5,2020,194,8,AF,012
26/05/2020,26,5,2020,197,9,AF,012
25/05/2020,25,5,2020,193,8,AF,012
24/05/2020,24,5,2020,195,10,AF,012
23/05/2020,23,5,2020,190,7,AF,012
22/05/2020,22,5,2020,186,7,AF,012
21/05/2020,21,5,2020,165,7,AF,012
20/05/2020,20,5,2020,176,6,AF,012
19/05/2020,19,5,2020,182,7,AF,012
18/05/2020,18,5,2020,198,6,AF,012
17/05/2020,17,5,2020,192,6,AF,012
16/05/2020,16,5,2020,187,7,AF,012
15/05/2020,15,5,2020,189,7,AF,012
14/05/2020,14,5,2020,186,7,AF,012
13/05/2020,13,5,2020,176,8,AF,012
12/05/2020,12,5,2020,168,5,AF,012
11/05/2020,11,5,2020,165,8,AF,012
10/05/2020,10,5,2020,189,6,AF,012
09/05/2020,9,5,2020,187,5,AF,012
08/05/2020,8,5,2020,185,7,AF,012
07/05/2020,7,5,2020,159,6,AF,012
06/05/2020,6,5,2020,190,5,AF,012
05/05/2020,5,5,2020,174,2,AF,012
04/05/2020,4,5,2020,179,4,AF,012
03/05/2020,3,5,2020,141,6,AF,012
02/05/2020,2,5,2020,148,3,AF,012
01/05/2020,1,5,2020,158,6,AF,012
30/04/2020,30,4,2020,199,7,AF,012
29/04/2020,29,4,2020,132,5,AF,012
28/04/2020,28,4,2020,135,7,AF,012
27/04/2020,27,4,2020,126,6,AF,012
26/04/2020,26,4,2020,129,4,AF,012
25/04/2020,25,4,2020,120,8,AF,012
24/04/2020,24,4,2020,97,5,AF,012
23/04/2020,23,4,2020,99,10,AF,012
22/04/2020,22,4,2020,93,8,AF,012
21/04/2020,21,4,2020,89,9,AF,012
20/04/2020,20,4,2020,94,8,AF,012
19/04/2020,19,4,2020,117,3,AF,012
18/04/2020,18,4,2020,150,16,AF,012
17/04/2020,17,4,2020,108,12,AF,012
16/04/2020,16,4,2020,90,11,AF,012
15/04/2020,15,4,2020,87,12,AF,012
14/04/2020,14,4,2020,69,20,AF,012
13/04/2020,13,4,2020,89,18,AF,012
12/04/2020,12,4,2020,64,19,AF,012
11/04/2020,11,4,2020,95,21,AF,012
10/04/2020,10,4,2020,94,30,AF,012
09/04/2020,9,4,2020,104,12,AF,012
08/04/2020,8,4,2020,45,20,AF,012
07/04/2020,7,4,2020,103,21,AF,012
06/04/2020,6,4,2020,69,22,AF,012
05/04/2020,5,4,2020,80,25,AF,012
04/04/2020,4,4,2020,185,42,AF,012
03/04/2020,3,4,2020,139,5,AF,012
02/04/2020,2,4,2020,131,14,AF,012
01/04/2020,1,4,2020,132,9,AF,012
31/03/2020,31,3,2020,73,4,AF,012
30/03/2020,30,3,2020,57,2,AF,012
29/03/2020,29,3,2020,45,3,AF,012
28/03/2020,28,3,2020,42,1,AF,012
27/03/2020,27,3,2020,65,4,AF,012
26/03/2020,26,3,2020,38,2,AF,012
25/03/2020,25,3,2020,34,2,AF,012
24/03/2020,24,3,2020,29,0,AF,012
23/03/2020,23,3,2020,62,2,AF,012
22/03/2020,22,3,2020,37,5,AF,012
21/03/2020,21,3,2020,12,3,AF,012
20/03/2020,20,3,2020,18,1,AF,012
19/03/2020,19,3,2020,12,1,AF,012
18/03/2020,18,3,2020,2,1,AF,012
17/03/2020,17,3,2020,10,0,AF,012
16/03/2020,16,3,2020,11,2,AF,012
15/03/2020,15,3,2020,11,0,AF,012
14/03/2020,14,3,2020,1,1,AF,012
13/03/2020,13,3,2020,5,1,AF,012
12/03/2020,12,3,2020,0,0,AF,012
09/03/2020,9,3,2020,3,0,AF,012
06/03/2020,6,3,2020,5,0,AF,012
05/03/2020,5,3,2020,7,0,AF,012
04/03/2020,4,3,2020,2,0,AF,012
02/03/2020,2,3,2020,0,0,AF,012
01/03/2020,1,3,2020,2,0,AF,012
29/02/2020,29,2,2020,0,0,AF,012
28/02/2020,28,2,2020,0,0,AF,012
27/02/2020,27,2,2020,0,0,AF,012
26/02/2020,26,2,2020,1,0,AF,012
25/02/2020,25,2,2020,0,0,AF,012
24/02/2020,24,2,2020,0,0,AF,012
23/02/2020,23,2,2020,0,0,AF,012
22/02/2020,22,2,2020,0,0,AF,012
21/02/2020,21,2,2020,0,0,AF,012
20/02/2020,20,2,2020,0,0,AF,012
19/02/2020,19,2,2020,0,0,AF,012
18/02/2020,18,2,2020,0,0,AF,012
17/02/2020,17,2,2020,0,0,AF,012
16/02/2020,16,2,2020,0,0,AF,012
15/02/2020,15,2,2020,0,0,AF,012
14/02/2020,14,2,2020,0,0,AF,012
13/02/2020,13,2,2020,0,0,AF,012
12/02/2020,12,2,2020,0,0,AF,012
11/02/2020,11,2,2020,0,0,AF,012
10/02/2020,10,2,2020,0,0,AF,012
09/02/2020,9,2,2020,0,0,AF,012
08/02/2020,8,2,2020,0,0,AF,012
07/02/2020,7,2,2020,0,0,AF,012
06/02/2020,6,2,2020,0,0,AF,012
05/02/2020,5,2,2020,0,0,AF,012
04/02/2020,4,2,2020,0,0,AF,012
03/02/2020,3,2,2020,0,0,AF,012
02/02/2020,2,2,2020,0,0,AF,012
01/02/2020,1,2,2020,0,0,AF,012
31/01/2020,31,1,2020,0,0,AF,012
30/01/2020,30,1,2020,0,0,AF,012
29/01/2020,29,1,2020,0,0,AF,012
28/01/2020,28,1,2020,0,0,AF,012
27/01/2020,27,1,2020,0,0,AF,012
26/01/2020,26,1,2020,0,0,AF,012
25/01/2020,25,1,2020,0,0,AF,012
24/01/2020,24,1,2020,0,0,AF,012
23/01/2020,23,1,2020,0,0,AF,012
22/01/2020,22,1,2020,0,0,AF,012
21/01/2020,21,1,2020,0,0,AF,012
20/01/2020,20,1,2020,0,0,AF,012
19/01/2020,19,1,2020,0,0,AF,012
18/01/2020,18,1,2020,0,0,AF,012
17/01/2020,17,1,2020,0,0,AF,012
16/01/2020,16,1,2020,0,0,AF,012
15/01/2020,15,1,2020,0,0,AF,012
14/01/2020,14,1,2020,0,0,AF,012
13/01/2020,13,1,2020,0,0,AF,012
12/01/2020,12,1,2020,0,0,AF,012
11/01/2020,11,1,2020,0,0,AF,012
10/01/2020,10,1,2020,0,0,AF,012
09/01/2020,9,1,2020,0,0,AF,012
08/01/2020,8,1,2020,0,0,AF,012
07/01/2020,7,1,2020,0,0,AF,012
06/01/2020,6,1,2020,0,0,AF,012
05/01/2020,5,1,2020,0,0,AF,012
04/01/2020,4,1,2020,0,0,AF,012
03/01/2020,3,1,2020,0,0,AF,012
02/01/2020,2,1,2020,0,0,AF,012
01/01/2020,1,1,2020,0,0,AF,012
31/12/2019,31,12,2019,0,0,AF,012
27/05/2020,27,5,2020,0,0,EU,020
26/05/2020,26,5,2020,0,0,EU,020
25/05/2020,25,5,2020,1,0,EU,020
24/05/2020,24,5,2020,0,0,EU,020
23/05/2020,23,5,2020,0,0,EU,020
22/05/2020,22,5,2020,0,0,EU,020
21/05/2020,21,5,2020,1,0,EU,020
20/05/2020,20,5,2020,0,0,EU,020
19/05/2020,19,5,2020,0,0,EU,020
18/05/2020,18,5,2020,0,0,EU,020
17/05/2020,17,5,2020,0,2,EU,020
16/05/2020,16,5,2020,0,0,EU,020
15/05/2020,15,5,2020,1,0,EU,020
14/05/2020,14,5,2020,2,1,EU,020
13/05/2020,13,5,2020,2,0,EU,020
12/05/2020,12,5,2020,1,0,EU,020
11/05/2020,11,5,2020,1,0,EU,020
10/05/2020,10,5,2020,2,1,EU,020
09/05/2020,9,5,2020,0,0,EU,020
08/05/2020,8,5,2020,1,1,EU,020
07/05/2020,7,5,2020,0,0,EU,020
06/05/2020,6,5,2020,1,1,EU,020
05/05/2020,5,5,2020,2,0,EU,020
04/05/2020,4,5,2020,1,1,EU,020
03/05/2020,3,5,2020,1,1,EU,020
02/05/2020,2,5,2020,1,1,EU,020
01/05/2020,1,5,2020,2,0,EU,020
30/04/2020,30,4,2020,0,1,EU,020
29/04/2020,29,4,2020,0,1,EU,020
28/04/2020,28,4,2020,3,0,EU,020
27/04/2020,27,4,2020,7,0,EU,020
26/04/2020,26,4,2020,2,0,EU,020
25/04/2020,25,4,2020,7,3,EU,020
24/04/2020,24,4,2020,1,0,EU,020
23/04/2020,23,4,2020,6,0,EU,020
22/04/2020,22,4,2020,0,1,EU,020
21/04/2020,21,4,2020,4,0,EU,020
20/04/2020,20,4,2020,9,1,EU,020
19/04/2020,19,4,2020,8,0,EU,020
18/04/2020,18,4,2020,14,2,EU,020
17/04/2020,17,4,2020,9,0,EU,020
16/04/2020,16,4,2020,14,2,EU,020
15/04/2020,15,4,2020,13,2,EU,020
14/04/2020,14,4,2020,8,0,EU,020
13/04/2020,13,4,2020,16,1,EU,020
12/04/2020,12,4,2020,21,2,EU,020
11/04/2020,11,4,2020,18,1,EU,020
10/04/2020,10,4,2020,19,2,EU,020
09/04/2020,9,4,2020,19,1,EU,020
08/04/2020,8,4,2020,19,1,EU,020
07/04/2020,7,4,2020,25,3,EU,020
06/04/2020,6,4,2020,35,1,EU,020
05/04/2020,5,4,2020,27,1,EU,020
04/04/2020,4,4,2020,11,1,EU,020
03/04/2020,3,4,2020,38,1,EU,020
02/04/2020,2,4,2020,14,2,EU,020
01/04/2020,1,4,2020,6,4,EU,020
31/03/2020,31,3,2020,36,2,EU,020
30/03/2020,30,3,2020,26,2,EU,020
29/03/2020,29,3,2020,41,1,EU,020
28/03/2020,28,3,2020,43,0,EU,020
27/03/2020,27,3,2020,36,3,EU,020
26/03/2020,26,3,2020,24,0,EU,020
25/03/2020,25,3,2020,31,0,EU,020
24/03/2020,24,3,2020,20,0,EU,020
23/03/2020,23,3,2020,25,0,EU,020
22/03/2020,22,3,2020,13,0,EU,020
21/03/2020,21,3,2020,0,0,EU,020
20/03/2020,20,3,2020,22,0,EU,020
19/03/2020,19,3,2020,39,0,EU,020
18/03/2020,18,3,2020,0,0,EU,020
17/03/2020,17,3,2020,9,0,EU,020
16/03/2020,16,3,2020,3,0,EU,020
14/03/2020,14,3,2020,1,0,EU,020
03/03/2020,3,3,2020,1,0,EU,020
27/05/2020,27,5,2020,2,0,AF,024
26/05/2020,26,5,2020,0,0,AF,024
25/05/2020,25,5,2020,9,1,AF,024
24/05/2020,24,5,2020,0,0,AF,024
23/05/2020,23,5,2020,2,0,AF,024
22/05/2020,22,5,2020,6,0,AF,024
21/05/2020,21,5,2020,2,1,AF,024
20/05/2020,20,5,2020,2,0,AF,024
19/05/2020,19,5,2020,0,0,AF,024
18/05/2020,18,5,2020,0,0,AF,024
17/05/2020,17,5,2020,0,0,AF,024
16/05/2020,16,5,2020,0,0,AF,024
15/05/2020,15,5,2020,3,0,AF,024
14/05/2020,14,5,2020,0,0,AF,024
13/05/2020,13,5,2020,0,0,AF,024
12/05/2020,12,5,2020,0,0,AF,024
11/05/2020,11,5,2020,2,0,AF,024
10/05/2020,10,5,2020,0,0,AF,024
09/05/2020,9,5,2020,7,0,AF,024
08/05/2020,8,5,2020,0,0,AF,024
07/05/2020,7,5,2020,0,0,AF,024
06/05/2020,6,5,2020,1,0,AF,024
05/05/2020,5,5,2020,0,0,AF,024
04/05/2020,4,5,2020,0,0,AF,024
03/05/2020,3,5,2020,6,0,AF,024
02/05/2020,2,5,2020,2,0,AF,024
01/05/2020,1,5,2020,0,0,AF,024
30/04/2020,30,4,2020,0,0,AF,024
29/04/2020,29,4,2020,0,0,AF,024
28/04/2020,28,4,2020,1,0,AF,024
27/04/2020,27,4,2020,1,0,AF,024
26/04/2020,26,4,2020,0,0,AF,024
25/04/2020,25,4,2020,0,0,AF,024
24/04/2020,24,4,2020,1,0,AF,024
23/04/2020,23,4,2020,0,0,AF,024
22/04/2020,22,4,2020,0,0,AF,024
21/04/2020,21,4,2020,0,0,AF,024
20/04/2020,20,4,2020,0,0,AF,024
19/04/2020,19,4,2020,5,0,AF,024
18/04/2020,18,4,2020,0,0,AF,024
17/04/2020,17,4,2020,0,0,AF,024
16/04/2020,16,4,2020,0,0,AF,024
15/04/2020,15,4,2020,0,0,AF,024
14/04/2020,14,4,2020,0,0,AF,024
13/04/2020,13,4,2020,0,0,AF,024
12/04/2020,12,4,2020,0,0,AF,024
11/04/2020,11,4,2020,0,0,AF,024
10/04/2020,10,4,2020,0,0,AF,024
09/04/2020,9,4,2020,2,0,AF,024
08/04/2020,8,4,2020,1,0,AF,024
07/04/2020,7,4,2020,2,0,AF,024
06/04/2020,6,4,2020,4,0,AF,024
05/04/2020,5,4,2020,2,0,AF,024
04/04/2020,4,4,2020,0,0,AF,024
03/04/2020,3,4,2020,0,0,AF,024
02/04/2020,2,4,2020,1,0,AF,024
01/04/2020,1,4,2020,0,0,AF,024
31/03/2020,31,3,2020,0,0,AF,024
30/03/2020,30,3,2020,3,2,AF,024
29/03/2020,29,3,2020,0,0,AF,024
28/03/2020,28,3,2020,1,0,AF,024
27/03/2020,27,3,2020,1,0,AF,024
26/03/2020,26,3,2020,0,0,AF,024
25/03/2020,25,3,2020,0,0,AF,024
24/03/2020,24,3,2020,0,0,AF,024
23/03/2020,23,3,2020,0,0,AF,024
22/03/2020,22,3,2020,2,0,AF,024
27/05/2020,27,5,2020,0,0,NA,660
26/05/2020,26,5,2020,0,0,NA,660
25/05/2020,25,5,2020,0,0,NA,660
24/05/2020,24,5,2020,0,0,NA,660
23/05/2020,23,5,2020,0,0,NA,660
22/05/2020,22,5,2020,0,0,NA,660
21/05/2020,21,5,2020,0,0,NA,660
20/05/2020,20,5,2020,0,0,NA,660
19/05/2020,19,5,2020,0,0,NA,660
18/05/2020,18,5,2020,0,0,NA,660
17/05/2020,17,5,2020,0,0,NA,660
16/05/2020,16,5,2020,0,0,NA,660
15/05/2020,15,5,2020,0,0,NA,660
14/05/2020,14,5,2020,0,0,NA,660
13/05/2020,13,5,2020,0,0,NA,660
12/05/2020,12,5,2020,0,0,NA,660
11/05/2020,11,5,2020,0,0,NA,660
10/05/2020,10,5,2020,0,0,NA,660
09/05/2020,9,5,2020,0,0,NA,660
08/05/2020,8,5,2020,0,0,NA,660
07/05/2020,7,5,2020,0,0,NA,660
06/05/2020,6,5,2020,0,0,NA,660
05/05/2020,5,5,2020,0,0,NA,660
04/05/2020,4,5,2020,0,0,NA,660
03/05/2020,3,5,2020,0,0,NA,660
02/05/2020,2,5,2020,0,0,NA,660
01/05/2020,1,5,2020,0,0,NA,660
30/04/2020,30,4,2020,0,0,NA,660
29/04/2020,29,4,2020,0,0,NA,660
28/04/2020,28,4,2020,0,0,NA,660
27/04/2020,27,4,2020,0,0,NA,660
26/04/2020,26,4,2020,0,0,NA,660
25/04/2020,25,4,2020,0,0,NA,660
24/04/2020,24,4,2020,0,0,NA,660
23/04/2020,23,4,2020,0,0,NA,660
22/04/2020,22,4,2020,0,0,NA,660
21/04/2020,21,4,2020,0,0,NA,660
20/04/2020,20,4,2020,0,0,NA,660
19/04/2020,19,4,2020,0,0,NA,660
18/04/2020,18,4,2020,0,0,NA,660
17/04/2020,17,4,2020,0,0,NA,660
16/04/2020,16,4,2020,0,0,NA,660
15/04/2020,15,4,2020,0,0,NA,660
14/04/2020,14,4,2020,0,0,NA,660
13/04/2020,13,4,2020,0,0,NA,660
12/04/2020,12,4,2020,0,0,NA,660
11/04/2020,11,4,2020,0,0,NA,660
10/04/2020,10,4,2020,0,0,NA,660
09/04/2020,9,4,2020,0,0,NA,660
08/04/2020,8,4,2020,0,0,NA,660
07/04/2020,7,4,2020,0,0,NA,660
06/04/2020,6,4,2020,0,0,NA,660
05/04/2020,5,4,2020,0,0,NA,660
04/04/2020,4,4,2020,0,0,NA,660
03/04/2020,3,4,2020,1,0,NA,660
02/04/2020,2,4,2020,0,0,NA,660
01/04/2020,1,4,2020,0,0,NA,660
31/03/2020,31,3,2020,0,0,NA,660
30/03/2020,30,3,2020,0,0,NA,660
29/03/2020,29,3,2020,0,0,NA,660
28/03/2020,28,3,2020,0,0,NA,660
27/03/2020,27,3,2020,2,0,NA,660
27/05/2020,27,5,2020,0,0,NA,028
26/05/2020,26,5,2020,0,0,NA,028
25/05/2020,25,5,2020,0,0,NA,028
24/05/2020,24,5,2020,0,0,NA,028
23/05/2020,23,5,2020,0,0,NA,028
22/05/2020,22,5,2020,0,0,NA,028
21/05/2020,21,5,2020,0,0,NA,028
20/05/2020,20,5,2020,0,0,NA,028
19/05/2020,19,5,2020,0,0,NA,028
18/05/2020,18,5,2020,0,0,NA,028
17/05/2020,17,5,2020,0,0,NA,028
16/05/2020,16,5,2020,0,0,NA,028
15/05/2020,15,5,2020,0,0,NA,028
14/05/2020,14,5,2020,0,0,NA,028
13/05/2020,13,5,2020,0,0,NA,028
12/05/2020,12,5,2020,0,0,NA,028
11/05/2020,11,5,2020,0,0,NA,028
10/05/2020,10,5,2020,0,0,NA,028
09/05/2020,9,5,2020,0,0,NA,028
08/05/2020,8,5,2020,0,0,NA,028
07/05/2020,7,5,2020,0,0,NA,028
06/05/2020,6,5,2020,0,0,NA,028
05/05/2020,5,5,2020,0,0,NA,028
04/05/2020,4,5,2020,0,0,NA,028
03/05/2020,3,5,2020,0,0,NA,028
02/05/2020,2,5,2020,1,0,NA,028
01/05/2020,1,5,2020,0,0,NA,028
30/04/2020,30,4,2020,0,0,NA,028
29/04/2020,29,4,2020,0,0,NA,028
28/04/2020,28,4,2020,0,0,NA,028
27/04/2020,27,4,2020,0,0,NA,028
26/04/2020,26,4,2020,0,0,NA,028
25/04/2020,25,4,2020,0,0,NA,028
24/04/2020,24,4,2020,0,0,NA,028
23/04/2020,23,4,2020,0,0,NA,028
22/04/2020,22,4,2020,1,0,NA,028
21/04/2020,21,4,2020,0,1,NA,028
20/04/2020,20,4,2020,0,0,NA,028
19/04/2020,19,4,2020,0,0,NA,028
18/04/2020,18,4,2020,0,0,NA,028
